,Country,Population,Income_Group,WHO_Region,Democracy_score,Female_labour_force,Inequality_index,Pop_median_age,Pop_below_pov_line,Life_exp_all,Life_exp_male,Life_exp_female,Maternal_mort,Literacy_rate_adult_female,Literacy_rate_adult_male,Literacy_rate_adult_total,Literacy_rate_youth_female,Literacy_rate_youth_male,Literacy_rate_youth_total,females_primary_school,males_primary_school
161,Sierra Leone,5835664.0,Low,AFR,5.0,38.46,39.96,18.0,,40.0,39.0,42.0,2100.0,24.16,46.65,34.83,37.36,59.61,47.93,36.0,50.0
162,Singapore,4836691.0,High,WPR,-2.0,39.91,42.48,38.0,,80.0,78.0,83.0,14.0,88.65,96.57,92.55,99.6,99.41,99.5,77.0,77.0
163,Slovakia,5411640.0,High,EUR,9.0,45.14,25.81,36.0,,74.0,70.0,78.0,6.0,,,,,,,92.0,92.0
164,Slovenia,2024912.0,High,EUR,,46.17,30.94,41.0,,78.0,74.0,82.0,6.0,99.64,99.7,99.67,99.88,99.82,99.85,95.0,96.0
165,Solomon Islands,535699.0,Low,WPR,8.0,38.58,,20.0,,67.0,65.0,68.0,220.0,,,,,,,61.0,62.0
166,Somalia,9358602.0,Low,EMR,0.0,39.25,,18.0,,55.0,54.0,56.0,1400.0,,,,,,,6.0,11.0
167,South Africa,50492408.0,Middle,AFR,9.0,38.22,57.78,24.0,10.7,51.0,50.0,53.0,400.0,80.93,84.07,82.4,94.29,93.5,93.91,88.0,88.0
168,Spain,45316586.0,High,EUR,10.0,41.04,34.66,39.0,,81.0,78.0,84.0,4.0,95.05,98.04,96.49,99.57,99.54,99.55,99.0,100.0
169,Sri Lanka,20409946.0,Middle,SEAR,5.0,30.4,40.17,30.0,5.6,72.0,69.0,76.0,58.0,89.14,92.27,90.68,96.12,95.07,95.59,100.0,99.0
170,Sudan,43192438.0,Middle,EMR,-4.0,24.82,,20.0,,60.0,59.0,61.0,450.0,51.78,71.13,60.93,71.43,84.62,77.18,37.0,45.0
171,Suriname,524345.0,Middle,AMR,,35.02,,26.0,,68.0,65.0,71.0,72.0,87.2,92.02,89.6,94.14,95.62,94.88,98.0,95.0
172,Swaziland,1201904.0,Middle,AFR,-9.0,32.86,50.4,19.0,,42.0,41.0,43.0,390.0,78.35,80.9,79.56,89.76,86.98,88.42,79.0,78.0
173,Sweden,9293026.0,High,EUR,10.0,47.37,25.0,40.0,,81.0,79.0,83.0,3.0,,,,,,,95.0,95.0
174,Switzerland,7594561.0,High,EUR,,46.65,33.68,40.0,,82.0,79.0,84.0,5.0,,,,,,,89.0,89.0
175,Syria,,,,-7.0,,,21.0,,72.0,70.0,75.0,130.0,73.63,87.76,80.84,90.22,94.61,92.45,92.0,97.0
176,Taiwan,,,,10.0,,,,,,,,,,,,,,,,
177,Tajikistan,7074845.0,Low,EUR,-3.0,43.78,33.59,20.0,7.4,64.0,63.0,66.0,170.0,99.22,99.68,99.45,99.85,99.84,99.85,95.0,99.0
178,Tanzania,,,,1.0,49.42,34.62,18.0,57.8,50.0,50.0,51.0,950.0,62.17,77.51,69.43,76.2,80.92,78.4,97.0,98.0
179,Thailand,68139238.0,Middle,SEAR,9.0,46.16,41.98,33.0,2.0,72.0,69.0,75.0,110.0,90.52,94.9,92.65,97.85,98.1,97.98,94.0,94.0
180,Timor-Leste,1171163.0,Middle,SEAR,,,,17.0,,66.0,64.0,69.0,380.0,,,,,,,67.0,70.0
181,Togo,6780030.0,Low,AFR,-4.0,36.91,,18.0,,57.0,55.0,60.0,510.0,38.46,68.68,53.16,63.55,83.65,74.37,75.0,86.0
182,Tonga,104260.0,Middle,WPR,,37.82,,21.0,,71.0,73.0,69.0,,98.98,98.83,98.91,99.35,99.27,99.31,94.0,97.0
183,Trinidad and Tobago,1343725.0,High,AMR,10.0,38.91,38.88,29.0,,69.0,66.0,72.0,45.0,97.84,98.92,98.37,99.47,99.46,99.46,85.0,85.0
184,Tunisia,10373957.0,Middle,EMR,-4.0,27.61,39.8,27.0,2.0,72.0,70.0,75.0,100.0,65.35,83.39,74.3,92.24,96.4,94.34,97.0,96.0
185,Turkey,75705147.0,Middle,EUR,7.0,26.44,43.64,27.0,3.4,73.0,71.0,75.0,44.0,79.58,95.27,87.37,93.3,98.02,95.6,89.0,93.0
186,Turkmenistan,5176502.0,Middle,EUR,-9.0,46.67,40.76,24.0,,63.0,60.0,67.0,130.0,98.26,99.32,98.78,99.81,99.81,99.81,,
187,Tuvalu,9970.0,Middle,WPR,,,,,,65.0,64.0,65.0,,,,,,,,,
188,Uganda,33796461.0,Low,AFR,-1.0,48.27,45.7,15.0,,50.0,49.0,51.0,550.0,57.71,76.81,66.81,71.21,82.74,76.64,,
189,Ukraine,45433415.0,Middle,EUR,6.0,49.07,28.24,39.0,2.0,67.0,61.0,73.0,18.0,99.17,99.74,99.43,99.83,99.78,99.8,90.0,90.0
190,United Arab Emirates,4707307.0,High,EMR,-8.0,13.41,,30.0,,78.0,77.0,80.0,37.0,87.79,88.99,88.67,95.49,97.88,96.97,88.0,88.0
191,United Kingdom,,,,10.0,45.99,35.97,39.0,,79.0,77.0,81.0,8.0,,,,,,,99.0,98.0
192,United States of America,317641087.0,High,AMR,10.0,46.23,40.81,36.0,,78.0,75.0,80.0,11.0,,,,,,,93.0,91.0
193,Uruguay,3372222.0,Middle,AMR,10.0,44.16,46.14,33.0,2.0,75.0,72.0,79.0,20.0,97.27,96.24,96.78,99.02,98.15,98.58,100.0,100.0
194,Uzbekistan,27794296.0,Middle,EUR,-9.0,44.6,36.77,23.0,2.0,68.0,65.0,70.0,24.0,,,,,,,78.0,79.0
195,Vanuatu,245786.0,Middle,WPR,,46.71,,20.0,,69.0,67.0,70.0,,,,74.0,,,,86.0,88.0
196,Venezuela,,,,6.0,,48.2,25.0,18.5,74.0,71.0,78.0,57.0,92.72,93.26,92.98,98.07,96.33,97.2,91.0,91.0
197,Vietnam,,,,-7.0,48.45,37.05,25.0,,72.0,69.0,75.0,150.0,86.92,93.92,90.28,93.59,94.18,93.88,91.0,96.0
198,West Bank and Gaza,,,,,13.1,,,,,,,,88.02,96.68,92.39,98.82,99.15,98.99,,
199,Yemen,24255928.0,Middle,EMR,-2.0,27.88,37.7,17.0,,61.0,59.0,62.0,430.0,34.68,73.12,54.07,58.88,90.7,75.2,65.0,85.0
200,Zambia,13257269.0,Low,AFR,5.0,42.21,50.8,17.0,63.8,43.0,42.0,43.0,830.0,59.8,76.25,68.0,66.23,72.62,69.46,94.0,90.0
201,Zimbabwe,12644041.0,Low,AFR,-4.0,44.0,50.1,19.0,,43.0,44.0,43.0,880.0,86.16,92.67,89.36,97.93,97.48,97.7,88.0,87.0
